Doc,Source Idx,Source,Target Idx,Target,Distance,Difference,relation_type
Detecting and explaining unfairness in consumer contracts through memory networks,32,outcomes of neural-network classifiers could be enabled by Memory-Augmented Neural Networks or MANNs (Sukhbaatar et al.,71,"Indeed, the detection of a``unilateral termination""clause``with 98.8 percent confidence""could be a useful piece of information.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",39,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,32,outcomes of neural-network classifiers could be enabled by Memory-Augmented Neural Networks or MANNs (Sukhbaatar et al.,72,"Instead, a more specific rationale such as``the clause mentions the contract or access may be terminated but does not state the grounds for termination""could provide a more compelling argument in that regard.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",40,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,34,Consider for instance the following story: Joe went to the kitchen.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,35,Fred went to the kitchen.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,36,Joe picked up the milk.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,37,Joe travelled to the office.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,38,Joe left the milk.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,39,Joe went to the bathroom.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,40,Answering the question requires comprehension of the,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,41,"The list of memories used to answer a given query, for example``Joe travelled to the office""and``Joe left the milk""constitutes, in a way, an explanation to the answer``The milk is in the kitchen"".","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",8,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,42,ad-hoc justifications provided by legal experts motivating their conclusion to consider a given clause as unfair.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",9,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,43,"Accordingly, if we train a MANN classifier to identify unfair clauses by using as facts the rationales behind unfairness labels, then a possible explanation of an unfairness prediction could be constructed based on the list of memories, i.e., the rationales, used by the MANN.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,44,"Consider for example a unilateral termination clause, giving the provider the right to suspend or terminate the service and/or the contract.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,45,"Instead, a more specific rationale such as``the clause mentions the contract or access may be terminated but does not state the grounds for termination""could provide a more compelling argument in that regard.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,46,"of rationales constituted the basis for creating a corpus of 100 annotated ToS, which we used to train different MANN architecture configurations.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",13,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,47,"We evaluated their performance with respect to relevant baselines, including support vector machine classifiers, convolutional neural networks and long shortmemory networks.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",14,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,48,consumer contracts and pave the way to their extensive use in other areas of automated legal text analytics.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",15,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,49,A pilot study on the use of MANN for detecting and explaining unfair clauses in consumer contracts was recently presented by Lagioia et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",16,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,50,"( 2019), and it gave promising results.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",17,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,51,Recent work has demonstrated how data-driven AI methods can leverage consumer protection by supporting the automated analysis of legal documents.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",18,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,52,"However, a shortcoming of data-driven approaches is poor explainability.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",19,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,53,"Terms that cause a significant imbalance in the parties' rights and obligations, to the detriment of the consumer, are deemed unfair by Consumer Law.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",20,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,54,"Despite substantive law in place, and despite the competence of enforcers for abstract control, providers of online services still tend to use unfair and unlawful clauses in these documents (Loos and Luzak 2016; Micklitz et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,55,accept (Obar and Oeldorf-Hirsch 2016).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",22,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,56,the potentially unfair clauses it contains (Lippi et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",23,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,57,"Indeed, in recent years a rich debate has flourished around the opacity of AI systems that, in terms of accuracy, offer unprecedented results, but at the same time cannot be easily inspected in order to find reasons behind blatant and even possibly dangerous mistakes.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,58,This adds to the growing concern that data-driven machine-learning systems may exasperate existing biases and social inequalities (O'Neil 2016; Lippi et,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",25,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,59,The basic idea behind MANNs is to combine the successful learning,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",26,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,60,There are good reasons for such a great interest.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",27,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,61,"Research in social science suggests that providing explanations for recommended actions deeply influences users' confidence in, and acceptance of, AI-based decisions and recommendations (Cramer et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",28,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,62,Consider for instance the following story: Joe went to the kitchen.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",29,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,63,Fred went to the kitchen.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,64,Joe picked up the milk.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",31,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,65,Joe travelled to the office.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",32,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,66,Joe left the milk.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",33,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,67,Joe went to the bathroom.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",34,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,68,"of memories used to answer a given query, for example``Joe travelled to the office""and``Joe left the milk""constitutes, in a way, an explanation to the answer``The milk is in the kitchen"".","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",35,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,69,ad-hoc justifications provided by legal experts motivating their conclusion to consider a given clause as unfair.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",36,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,70,"Consider for example a unilateral termination clause, giving the provider the right to suspend or terminate the service and/or the contract.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",37,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,71,"Indeed, the detection of a``unilateral termination""clause``with 98.8 percent confidence""could be a useful piece of information.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",38,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,33,The basic idea behind MANNs is to combine the successful learning strategies developed in the machine learning literature for inference with a memory component that can be read and written to.,72,"Instead, a more specific rationale such as``the clause mentions the contract or access may be terminated but does not state the grounds for termination""could provide a more compelling argument in that regard.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",39,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,35,Fred went to the kitchen.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,36,Joe picked up the milk.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,37,Joe travelled to the office.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,38,Joe left the milk.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,39,Joe went to the bathroom.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,40,Answering the question requires comprehension of the,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,41,"The list of memories used to answer a given query, for example``Joe travelled to the office""and``Joe left the milk""constitutes, in a way, an explanation to the answer``The milk is in the kitchen"".","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,42,ad-hoc justifications provided by legal experts motivating their conclusion to consider a given clause as unfair.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",8,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,43,"Accordingly, if we train a MANN classifier to identify unfair clauses by using as facts the rationales behind unfairness labels, then a possible explanation of an unfairness prediction could be constructed based on the list of memories, i.e., the rationales, used by the MANN.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",9,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,44,"Consider for example a unilateral termination clause, giving the provider the right to suspend or terminate the service and/or the contract.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,45,"Instead, a more specific rationale such as``the clause mentions the contract or access may be terminated but does not state the grounds for termination""could provide a more compelling argument in that regard.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,46,"of rationales constituted the basis for creating a corpus of 100 annotated ToS, which we used to train different MANN architecture configurations.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,47,"We evaluated their performance with respect to relevant baselines, including support vector machine classifiers, convolutional neural networks and long shortmemory networks.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",13,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,48,consumer contracts and pave the way to their extensive use in other areas of automated legal text analytics.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",14,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,49,A pilot study on the use of MANN for detecting and explaining unfair clauses in consumer contracts was recently presented by Lagioia et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",15,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,50,"( 2019), and it gave promising results.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",16,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,51,Recent work has demonstrated how data-driven AI methods can leverage consumer protection by supporting the automated analysis of legal documents.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",17,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,52,"However, a shortcoming of data-driven approaches is poor explainability.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",18,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,53,"Terms that cause a significant imbalance in the parties' rights and obligations, to the detriment of the consumer, are deemed unfair by Consumer Law.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",19,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,54,"Despite substantive law in place, and despite the competence of enforcers for abstract control, providers of online services still tend to use unfair and unlawful clauses in these documents (Loos and Luzak 2016; Micklitz et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",20,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,55,accept (Obar and Oeldorf-Hirsch 2016).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,56,the potentially unfair clauses it contains (Lippi et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",22,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,57,"Indeed, in recent years a rich debate has flourished around the opacity of AI systems that, in terms of accuracy, offer unprecedented results, but at the same time cannot be easily inspected in order to find reasons behind blatant and even possibly dangerous mistakes.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",23,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,58,This adds to the growing concern that data-driven machine-learning systems may exasperate existing biases and social inequalities (O'Neil 2016; Lippi et,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,59,The basic idea behind MANNs is to combine the successful learning,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",25,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,60,There are good reasons for such a great interest.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",26,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,61,"Research in social science suggests that providing explanations for recommended actions deeply influences users' confidence in, and acceptance of, AI-based decisions and recommendations (Cramer et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",27,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,62,Consider for instance the following story: Joe went to the kitchen.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",28,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,63,Fred went to the kitchen.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",29,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,64,Joe picked up the milk.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,65,Joe travelled to the office.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",31,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,66,Joe left the milk.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",32,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,67,Joe went to the bathroom.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",33,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,68,"of memories used to answer a given query, for example``Joe travelled to the office""and``Joe left the milk""constitutes, in a way, an explanation to the answer``The milk is in the kitchen"".","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",34,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,69,ad-hoc justifications provided by legal experts motivating their conclusion to consider a given clause as unfair.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",35,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,70,"Consider for example a unilateral termination clause, giving the provider the right to suspend or terminate the service and/or the contract.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",36,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,71,"Indeed, the detection of a``unilateral termination""clause``with 98.8 percent confidence""could be a useful piece of information.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",37,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,34,Consider for instance the following story: Joe went to the kitchen.,72,"Instead, a more specific rationale such as``the clause mentions the contract or access may be terminated but does not state the grounds for termination""could provide a more compelling argument in that regard.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",38,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,35,Fred went to the kitchen.,36,Joe picked up the milk.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,35,Fred went to the kitchen.,37,Joe travelled to the office.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,35,Fred went to the kitchen.,38,Joe left the milk.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Detecting and explaining unfairness in consumer contracts through memory networks,35,Fred went to the kitchen.,39,Joe went to the bathroom.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
